time,open,high,low,close,volume
2026-08-20T10:00:00+00:00,1.083,1.0836,1.0826,1.0834,1000
2026-08-20T10:15:00+00:00,1.0834,1.0852,1.0832,1.085,1000
2026-08-20T10:30:00+00:00,1.085,1.088,1.0847,1.0876,1000
2026-08-20T10:45:00+00:00,1.0876,1.0878,1.0856,1.086,1000
2026-08-20T11:00:00+00:00,1.086,1.0864,1.0842,1.0846,1000
2026-08-20T11:15:00+00:00,1.0846,1.0866,1.0844,1.0864,1000
2026-08-20T11:30:00+00:00,1.0864,1.0866,1.0838,1.084,1000
2026-08-20T11:45:00+00:00,1.084,1.0844,1.0824,1.0828,1000
2026-08-20T12:00:00+00:00,1.0828,1.0832,1.082,1.0823,1000
2026-08-20T12:15:00+00:00,1.0823,1.0826,1.0818,1.0822,1000
2026-08-20T12:30:00+00:00,1.0822,1.0834,1.082,1.0832,1000
2026-08-20T12:45:00+00:00,1.0832,1.0836,1.0821,1.0824,1000
2026-08-20T13:00:00+00:00,1.0824,1.083,1.08205,1.0827,1000
2026-08-20T13:15:00+00:00,1.0827,1.083,1.0806,1.0826,1000
2026-08-20T13:30:00+00:00,1.0828,1.083,1.0825,1.0829,1000
2026-08-20T13:45:00+00:00,1.0829,1.0872,1.0828,1.087,1000
2026-08-20T14:00:00+00:00,1.0856,1.0876,1.0854,1.0872,1000
2026-08-20T14:15:00+00:00,1.0872,1.0874,1.0842,1.0848,1000
2026-08-20T14:30:00+00:00,1.0848,1.0862,1.0845,1.086,1000
2026-08-20T14:45:00+00:00,1.086,1.0882,1.0856,1.088,1000
2026-08-20T15:00:00+00:00,1.088,1.089,1.0876,1.0884,1000
2026-08-20T15:15:00+00:00,1.0884,1.0886,1.087,1.0874,1000
2026-08-20T15:30:00+00:00,1.0874,1.0878,1.0864,1.0868,1000
